district,crop_type,plot_acres,soil_nitrogen_kg_ha,soil_ph,organic_carbon_pct,phosphorus_kg_ha,potassium_kg_ha,growth_stage,days_since_sowing,ndvi,optimal_solid_urea_pct,optimal_nano_urea_pct,solid_urea_bags,nano_urea_bottles,water_liters,expected_yield_quintal_acre
Jalandhar,paddy,3,258.3,8.05,0.565,21.8,195.1,tillering,38,0.505,47.4,52.6,3.06,3.39,375,28.11
Ludhiana,wheat,1,295.2,7.43,0.344,28.3,274.0,heading,92,0.725,36.1,63.9,0.85,1.5,125,19.28
Patiala,paddy,1,271.7,7.97,0.531,21.3,279.0,panicle_initiation,50,0.587,51.3,48.7,1.1,1.05,125,27.46
Ludhiana,wheat,5,201.9,7.3,0.492,35.0,252.0,grain_filling,101,0.641,48.4,51.6,5.67,6.06,625,20.13
Moga,wheat,2,234.2,7.37,0.307,22.0,138.4,germination,13,0.297,57.4,42.6,2.69,2.0,250,19.38
Bathinda,wheat,5,206.2,8.33,0.211,23.1,245.2,tillering,21,0.458,62.7,37.3,7.36,4.38,625,18.62
Amritsar,wheat,4,232.0,8.33,0.423,23.6,248.7,germination,18,0.273,59.5,40.5,5.58,3.8,500,19.35
Amritsar,wheat,2,236.6,7.6,0.447,23.5,256.3,tillering,39,0.406,54.9,45.1,2.57,2.12,250,19.66
Firozpur,paddy,3,242.5,7.74,0.27,36.3,281.4,seedling,2,0.204,60.0,40.0,3.87,2.58,375,27.93
Bathinda,wheat,2,215.2,8.46,0.26,23.2,226.9,heading,96,0.678,48.2,51.8,2.26,2.43,250,19.2
Jalandhar,paddy,5,248.5,7.64,0.374,21.5,254.5,flowering,86,0.758,37.0,63.0,3.97,6.78,625,27.08
Moga,paddy,7,162.8,8.01,0.439,34.7,313.7,seedling,9,0.259,58.2,41.8,8.77,6.29,875,27.95
Firozpur,wheat,2,245.1,8.25,0.243,13.0,317.3,grain_filling,101,0.626,51.6,48.4,2.42,2.27,250,19.96
Jalandhar,wheat,3,171.7,8.03,0.459,24.8,301.3,jointing,63,0.502,56.0,44.0,3.94,3.1,375,17.84
Ludhiana,paddy,12,213.3,7.48,0.467,12.9,225.7,grain_filling,96,0.586,34.3,65.7,8.85,16.95,1500,27.38
Sangrur,paddy,15,293.7,7.28,0.523,12.6,153.2,seedling,13,0.188,50.3,49.7,16.23,16.03,1875,29.72
Moga,wheat,3,194.3,8.25,0.546,25.9,244.0,tillering,48,0.479,54.7,45.3,3.85,3.19,375,18.8
Bathinda,paddy,10,258.1,8.41,0.334,20.8,282.8,flowering,81,0.633,47.2,52.8,10.16,11.35,1250,28.98
Amritsar,wheat,4,272.7,7.86,0.299,24.4,275.5,tillering,35,0.38,56.0,44.0,5.26,4.13,500,18.43
Ludhiana,paddy,15,245.6,7.5,0.396,12.0,292.9,seedling,4,0.28,58.5,41.5,18.89,13.37,1875,27.25
Bathinda,paddy,4,172.9,7.81,0.251,18.8,174.9,flowering,66,0.734,40.5,59.5,3.49,5.12,500,27.56
Kapurthala,wheat,3,226.7,8.0,0.385,38.6,313.6,jointing,75,0.63,52.2,47.8,3.67,3.36,375,18.99
Amritsar,paddy,3,276.4,7.94,0.544,31.3,247.3,panicle_initiation,64,0.731,47.5,52.5,3.07,3.39,375,28.86
Moga,wheat,3,252.7,8.08,0.412,39.5,273.8,heading,85,0.796,44.4,55.6,3.12,3.92,375,18.15
Patiala,wheat,4,234.4,7.5,0.49,34.4,156.0,heading,83,0.775,39.2,60.8,3.68,5.7,500,19.58
Patiala,wheat,3,193.7,7.13,0.412,13.1,144.1,germination,11,0.181,69.9,30.1,4.92,2.12,375,18.28
Gurdaspur,wheat,5,242.4,7.66,0.489,15.5,195.5,germination,3,0.271,54.4,45.6,6.38,5.35,625,18.04
Firozpur,wheat,7,216.6,7.84,0.35,36.2,127.3,jointing,57,0.651,49.9,50.1,8.2,8.22,875,20.02
Patiala,wheat,10,207.7,7.25,0.357,21.3,162.3,tillering,50,0.374,57.1,42.9,13.39,10.07,1250,19.21
Patiala,paddy,3,237.1,7.5,0.608,29.5,237.3,flowering,84,0.676,35.7,64.3,2.3,4.15,375,29.47
Firozpur,wheat,7,176.2,8.52,0.222,17.9,193.1,heading,91,0.618,57.5,42.5,9.45,6.98,875,20.03
Jalandhar,wheat,7,296.5,7.69,0.511,38.7,263.7,jointing,58,0.605,39.3,60.7,6.45,9.97,875,21.31
Jalandhar,wheat,1,176.1,7.83,0.372,30.3,150.9,heading,93,0.707,39.4,60.6,0.92,1.42,125,18.99
Moga,wheat,4,183.2,7.95,0.297,14.9,120.5,germination,10,0.221,66.4,33.6,6.23,3.16,500,18.56
Bathinda,paddy,4,255.1,7.66,0.383,42.8,156.2,panicle_initiation,46,0.698,45.6,54.4,3.93,4.68,500,27.89
Gurdaspur,paddy,3,286.9,7.81,0.382,18.2,246.8,flowering,90,0.775,30.2,69.8,1.95,4.5,375,28.63
Patiala,paddy,2,245.6,7.33,0.552,22.4,198.3,tillering,29,0.365,38.1,61.9,1.64,2.66,250,29.15
Patiala,paddy,5,216.9,6.97,0.628,31.7,226.7,panicle_initiation,49,0.75,40.9,59.1,4.4,6.35,625,29.38
Ludhiana,wheat,3,259.8,7.91,0.607,22.0,284.3,heading,93,0.625,35.7,64.3,2.51,4.53,375,20.6
Jalandhar,paddy,10,260.8,7.87,0.502,29.0,170.4,grain_filling,110,0.481,36.7,63.3,7.88,13.62,1250,29.2
Kapurthala,paddy,4,181.5,7.7,0.447,31.4,123.6,flowering,76,0.786,41.4,58.6,3.57,5.04,500,27.98
Firozpur,paddy,2,238.0,7.85,0.239,12.7,140.8,seedling,5,0.268,59.1,40.9,2.54,1.76,250,26.6
Jalandhar,wheat,7,288.9,8.14,0.446,30.7,199.8,germination,20,0.2,59.6,40.4,9.78,6.64,875,17.14
Sangrur,wheat,3,213.6,7.81,0.445,17.9,210.5,jointing,72,0.539,52.4,47.6,3.69,3.35,375,18.37
Ludhiana,paddy,7,218.9,7.26,0.374,28.0,315.1,seedling,0,0.222,55.0,45.0,8.28,6.78,875,27.12
Moga,paddy,3,164.4,8.02,0.335,41.4,161.0,grain_filling,107,0.456,47.9,52.1,3.09,3.36,375,27.09
Patiala,wheat,12,243.4,7.33,0.49,29.6,151.0,germination,7,0.279,51.8,48.2,14.58,13.58,1500,17.88
Amritsar,wheat,4,153.6,7.39,0.465,33.1,125.4,jointing,74,0.543,47.9,52.1,4.49,4.89,500,19.31
Bathinda,wheat,5,211.4,7.81,0.225,18.5,264.5,jointing,66,0.587,53.0,47.0,6.22,5.51,625,17.75
Amritsar,wheat,7,162.0,7.45,0.258,16.4,236.6,heading,98,0.779,41.3,58.7,6.78,9.64,875,18.65
Amritsar,wheat,12,154.8,8.2,0.354,37.1,192.6,grain_filling,112,0.494,47.9,52.1,13.5,14.66,1500,18.71
Firozpur,paddy,2,195.9,7.62,0.356,27.9,268.3,tillering,28,0.443,50.0,50.0,2.15,2.15,250,28.48
Kapurthala,wheat,4,184.0,7.33,0.296,42.0,143.6,heading,89,0.655,51.1,48.9,4.79,4.59,500,19.68
Moga,wheat,4,174.6,7.49,0.353,35.6,170.1,grain_filling,125,0.549,46.0,54.0,4.32,5.06,500,19.41
Kapurthala,wheat,3,209.5,8.15,0.347,13.2,274.2,grain_filling,121,0.617,47.7,52.3,3.36,3.68,375,19.65
Firozpur,paddy,4,196.6,8.2,0.482,35.6,163.0,flowering,80,0.652,45.0,55.0,3.87,4.73,500,27.27
Amritsar,paddy,7,216.4,7.61,0.355,24.4,261.0,tillering,40,0.407,51.9,48.1,7.81,7.24,875,27.78
Sangrur,paddy,12,215.5,7.1,0.594,14.8,310.0,seedling,14,0.161,56.1,43.9,14.47,11.34,1500,29.03
Ludhiana,paddy,1,276.9,8.02,0.387,27.1,164.2,tillering,24,0.567,51.3,48.7,1.1,1.05,125,27.17
Moga,paddy,3,221.2,7.54,0.307,35.6,158.5,tillering,42,0.567,51.1,48.9,3.3,3.16,375,27.02
Amritsar,wheat,3,240.2,7.98,0.359,29.6,216.2,jointing,55,0.617,52.3,47.7,3.68,3.35,375,17.78
Firozpur,wheat,15,240.7,7.78,0.395,41.0,243.2,tillering,43,0.442,53.9,46.1,18.98,16.22,1875,18.36
Moga,wheat,1,162.4,7.3,0.282,26.8,236.2,heading,95,0.68,48.9,51.1,1.15,1.2,125,17.63
Ludhiana,wheat,15,195.5,7.43,0.401,20.4,166.7,germination,15,0.153,58.2,41.8,20.48,14.71,1875,17.53
Firozpur,wheat,2,263.9,8.36,0.293,30.6,316.5,jointing,80,0.635,53.5,46.5,2.51,2.18,250,19.69
Bathinda,paddy,2,136.8,7.56,0.296,11.3,311.5,grain_filling,95,0.557,58.5,41.5,2.52,1.78,250,27.38
Ludhiana,wheat,1,235.5,7.91,0.544,15.4,283.2,grain_filling,124,0.6,35.3,64.7,0.83,1.52,125,18.8
Gurdaspur,wheat,1,294.3,6.94,0.429,42.6,267.0,tillering,44,0.401,45.3,54.7,1.06,1.28,125,19.08
Amritsar,wheat,3,180.8,8.02,0.273,39.8,219.0,grain_filling,119,0.615,52.0,48.0,3.66,3.38,375,20.78
Ludhiana,paddy,5,291.6,7.79,0.598,40.4,261.7,panicle_initiation,58,0.689,39.1,60.9,4.21,6.54,625,29.82
Moga,paddy,1,289.6,7.71,0.543,10.2,284.0,grain_filling,120,0.604,38.7,61.3,0.83,1.32,125,29.57
Moga,wheat,2,166.8,7.56,0.444,14.1,195.3,grain_filling,103,0.476,46.9,53.1,2.2,2.49,250,18.24
Amritsar,wheat,5,238.6,8.32,0.281,42.8,257.6,tillering,24,0.41,57.4,42.6,6.73,5.0,625,17.94
Ludhiana,wheat,3,190.5,8.02,0.647,33.7,209.2,jointing,53,0.631,51.4,48.6,3.62,3.42,375,19.93
Kapurthala,wheat,7,182.3,7.56,0.583,13.6,290.8,grain_filling,129,0.51,39.8,60.2,6.54,9.88,875,20.08
Patiala,paddy,3,191.1,7.32,0.68,24.7,247.7,panicle_initiation,50,0.747,40.3,59.7,2.6,3.85,375,29.08
Patiala,wheat,2,261.2,7.24,0.653,26.6,313.6,germination,16,0.164,60.9,39.1,2.86,1.84,250,17.51
Moga,paddy,2,173.4,7.24,0.555,31.6,279.3,seedling,13,0.165,55.0,45.0,2.36,1.94,250,29.44
Sangrur,wheat,1,187.5,7.72,0.404,30.7,206.6,grain_filling,117,0.452,45.6,54.4,1.07,1.28,125,16.56
Sangrur,wheat,4,262.3,7.95,0.55,11.4,216.1,germination,16,0.165,61.0,39.0,5.72,3.66,500,19.19
Jalandhar,wheat,3,268.6,8.23,0.303,28.7,296.5,germination,12,0.162,66.6,33.4,4.69,2.35,375,17.57
Kapurthala,paddy,4,188.0,7.2,0.322,32.3,261.3,seedling,5,0.23,66.1,33.9,5.69,2.91,500,26.81
Firozpur,paddy,3,242.2,7.81,0.448,12.8,299.0,flowering,71,0.763,38.2,61.8,2.46,3.99,375,29.55
Kapurthala,wheat,5,261.5,7.71,0.492,26.8,243.1,jointing,73,0.603,47.4,52.6,5.57,6.17,625,20.13
Patiala,wheat,2,172.9,7.58,0.466,29.0,218.7,heading,90,0.681,41.0,59.0,1.92,2.77,250,19.0
Moga,wheat,4,276.6,8.0,0.5,24.9,189.2,heading,100,0.701,46.8,53.2,4.39,4.99,500,20.63
Kapurthala,paddy,3,228.1,8.05,0.569,24.8,175.4,panicle_initiation,57,0.627,41.5,58.5,2.68,3.77,375,29.3
Kapurthala,paddy,2,287.3,7.22,0.364,44.0,156.2,grain_filling,96,0.534,35.5,64.5,1.53,2.77,250,28.35
Firozpur,paddy,4,222.8,7.51,0.403,20.9,199.8,panicle_initiation,50,0.552,41.1,58.9,3.54,5.06,500,28.24
Moga,wheat,4,188.0,7.28,0.323,28.2,187.4,germination,0,0.217,63.1,36.9,5.92,3.46,500,17.29
Bathinda,wheat,1,194.7,8.52,0.376,25.6,292.8,heading,100,0.654,52.2,47.8,1.22,1.12,125,19.34
Ludhiana,wheat,12,243.3,8.12,0.411,27.8,128.3,tillering,40,0.547,56.7,43.3,15.98,12.18,1500,18.78
Firozpur,wheat,2,198.4,8.2,0.259,11.0,181.6,tillering,30,0.497,61.8,38.2,2.9,1.79,250,17.85
Sangrur,paddy,7,189.8,7.76,0.568,43.1,256.6,tillering,33,0.492,46.7,53.3,7.02,8.03,875,28.05
Firozpur,paddy,2,258.6,8.12,0.483,38.9,253.4,seedling,9,0.195,56.2,43.8,2.42,1.89,250,27.74
Ludhiana,wheat,5,301.9,7.94,0.498,35.8,295.7,grain_filling,106,0.515,39.8,60.2,4.67,7.06,625,19.56
Gurdaspur,wheat,4,296.6,7.31,0.418,32.7,185.7,germination,11,0.241,57.6,42.4,5.41,3.98,500,17.27
Ludhiana,wheat,3,232.3,7.27,0.326,31.1,253.6,tillering,22,0.443,55.2,44.8,3.88,3.15,375,19.4
Sangrur,paddy,4,278.9,7.12,0.348,28.4,169.2,flowering,80,0.679,45.6,54.4,3.92,4.68,500,28.58
Bathinda,wheat,2,121.1,8.34,0.425,18.5,305.4,heading,93,0.67,46.9,53.1,2.2,2.49,250,19.22
Jalandhar,paddy,7,290.1,7.74,0.466,13.1,263.5,tillering,32,0.575,38.8,61.2,5.84,9.21,875,27.55
Kapurthala,paddy,7,185.8,7.35,0.536,16.5,303.6,flowering,69,0.617,44.4,55.6,6.69,8.37,875,26.98
Moga,paddy,5,227.1,7.85,0.516,32.6,155.0,seedling,12,0.268,49.1,50.9,5.28,5.47,625,28.3
Jalandhar,wheat,2,275.2,7.61,0.494,13.3,244.8,germination,17,0.173,60.8,39.2,2.85,1.84,250,19.37
Bathinda,wheat,2,123.3,8.33,0.352,29.1,166.4,grain_filling,129,0.462,56.0,44.0,2.63,2.06,250,17.26
Amritsar,wheat,4,209.9,8.06,0.458,44.7,145.7,jointing,54,0.659,48.9,51.1,4.59,4.8,500,19.14
Firozpur,paddy,5,213.4,7.88,0.323,22.0,243.4,grain_filling,107,0.591,43.6,56.4,4.69,6.07,625,26.52
Firozpur,paddy,15,221.1,8.04,0.311,21.7,253.9,flowering,67,0.673,39.1,60.9,12.63,19.63,1875,27.3
Sangrur,paddy,3,299.1,7.19,0.521,17.0,227.2,seedling,6,0.248,56.3,43.7,3.63,2.82,375,28.99
Moga,wheat,1,176.3,8.29,0.557,28.9,288.4,grain_filling,120,0.575,40.4,59.6,0.95,1.4,125,19.79
Sangrur,wheat,4,173.8,7.13,0.373,22.0,196.2,tillering,47,0.398,53.3,46.7,5.01,4.38,500,19.15
Kapurthala,paddy,2,232.2,8.1,0.444,44.7,290.3,tillering,27,0.564,48.7,51.3,2.09,2.21,250,27.93
Firozpur,wheat,2,231.0,7.57,0.279,38.7,184.5,jointing,52,0.534,53.3,46.7,2.5,2.19,250,18.94
Kapurthala,paddy,3,178.6,8.03,0.576,27.0,241.3,grain_filling,110,0.535,40.9,59.1,2.64,3.81,375,27.21
Firozpur,wheat,7,200.9,7.68,0.242,37.2,144.4,heading,93,0.787,48.2,51.8,7.91,8.51,875,18.93
Amritsar,paddy,5,171.3,7.27,0.484,26.1,131.6,panicle_initiation,63,0.562,47.2,52.8,5.07,5.68,625,26.76
Ludhiana,wheat,2,319.5,7.98,0.515,20.7,244.8,heading,86,0.685,35.6,64.4,1.67,3.02,250,21.59
Patiala,wheat,1,228.0,7.79,0.607,36.9,122.2,tillering,50,0.446,49.6,50.4,1.16,1.18,125,18.86
Kapurthala,wheat,3,246.7,7.39,0.549,32.0,159.8,grain_filling,113,0.459,46.4,53.6,3.27,3.77,375,18.45
Bathinda,paddy,7,133.7,8.13,0.238,21.4,267.5,panicle_initiation,54,0.673,64.5,35.5,9.71,5.35,875,27.71
Ludhiana,paddy,10,290.2,7.38,0.541,25.3,170.9,tillering,33,0.359,50.5,49.5,10.85,10.65,1250,28.02
Amritsar,wheat,5,213.0,7.47,0.517,25.8,296.5,grain_filling,112,0.552,40.9,59.1,4.8,6.93,625,19.65
Firozpur,wheat,5,135.0,8.01,0.329,26.2,318.3,heading,95,0.788,48.8,51.2,5.72,6.01,625,17.88
Bathinda,paddy,2,227.0,7.84,0.205,12.9,313.6,seedling,8,0.2,66.8,33.2,2.88,1.43,250,26.17
Gurdaspur,paddy,10,249.2,6.95,0.64,38.0,178.6,tillering,37,0.462,52.1,47.9,11.2,10.3,1250,28.34
Amritsar,wheat,2,197.4,8.31,0.317,23.0,206.4,heading,98,0.789,46.3,53.7,2.17,2.52,250,19.08
Ludhiana,paddy,3,220.0,7.98,0.601,39.6,303.8,tillering,36,0.524,46.5,53.5,3.0,3.45,375,28.59
Moga,wheat,5,162.5,7.55,0.503,19.4,227.9,grain_filling,118,0.472,43.4,56.6,5.09,6.64,625,19.47
Sangrur,wheat,3,247.6,7.56,0.395,29.8,257.8,heading,95,0.775,39.6,60.4,2.79,4.25,375,18.34
Firozpur,wheat,5,231.7,8.59,0.248,24.1,280.0,jointing,75,0.622,56.4,43.6,6.62,5.11,625,19.66
Gurdaspur,wheat,5,250.4,7.48,0.6,39.4,286.5,germination,1,0.264,52.9,47.1,6.21,5.52,625,19.88
Sangrur,paddy,1,304.5,7.41,0.444,35.3,297.2,panicle_initiation,50,0.683,38.8,61.2,0.83,1.32,125,27.97
Jalandhar,wheat,3,282.4,7.71,0.511,13.6,165.1,heading,84,0.611,40.8,59.2,2.87,4.17,375,22.05
Patiala,wheat,2,180.8,6.87,0.467,37.5,261.5,heading,99,0.688,42.8,57.2,2.01,2.68,250,17.81
Amritsar,wheat,3,158.8,8.16,0.48,35.7,179.9,germination,16,0.246,67.6,32.4,4.76,2.28,375,17.61
Moga,paddy,2,237.3,7.4,0.382,21.7,125.2,seedling,13,0.258,48.3,51.7,2.08,2.22,250,27.14
Bathinda,wheat,5,239.4,7.79,0.294,26.2,216.2,grain_filling,110,0.637,43.5,56.5,5.11,6.62,625,19.41
Moga,wheat,12,216.2,8.0,0.507,15.6,242.0,heading,100,0.731,38.1,61.9,10.72,17.43,1500,19.59
Patiala,wheat,1,280.2,7.97,0.48,25.0,289.0,heading,89,0.698,36.3,63.7,0.85,1.49,125,18.9
Ludhiana,paddy,5,192.1,7.28,0.556,29.2,145.6,grain_filling,100,0.591,37.7,62.3,4.05,6.7,625,29.88
Bathinda,wheat,5,211.6,7.76,0.341,26.2,314.4,heading,89,0.604,42.5,57.5,4.99,6.74,625,19.17
Sangrur,paddy,2,238.3,7.13,0.575,35.3,133.5,seedling,0,0.23,53.3,46.7,2.29,2.01,250,28.92
Bathinda,paddy,2,239.0,8.37,0.316,24.4,250.2,flowering,89,0.757,42.2,57.8,1.82,2.49,250,27.78
Patiala,paddy,7,198.2,7.11,0.408,21.6,271.4,grain_filling,105,0.6,42.1,57.9,6.34,8.71,875,25.75
Kapurthala,paddy,3,238.1,7.66,0.319,22.0,176.5,tillering,35,0.534,46.4,53.6,2.99,3.46,375,26.17
Patiala,wheat,4,197.4,7.02,0.383,22.5,271.5,grain_filling,121,0.512,38.7,61.3,3.63,5.75,500,19.35
Sangrur,paddy,2,209.3,7.94,0.59,19.7,316.7,seedling,11,0.176,54.9,45.1,2.36,1.94,250,28.61
Bathinda,wheat,5,206.1,7.61,0.421,38.1,221.0,germination,12,0.298,52.8,47.2,6.2,5.54,625,18.84
Sangrur,paddy,3,256.9,7.14,0.52,13.3,125.9,flowering,67,0.642,41.5,58.5,2.67,3.78,375,28.61
Sangrur,paddy,3,209.0,7.52,0.563,26.1,191.6,tillering,37,0.54,46.6,53.4,3.01,3.44,375,27.33
Firozpur,wheat,4,230.7,7.9,0.474,35.9,158.3,jointing,75,0.596,50.4,49.6,4.73,4.66,500,18.99
Patiala,wheat,7,273.5,6.93,0.46,10.1,256.3,germination,19,0.184,63.6,36.4,10.45,5.98,875,17.42
Jalandhar,paddy,2,190.2,7.53,0.302,36.7,201.7,flowering,79,0.781,43.8,56.2,1.89,2.42,250,28.4
Sangrur,paddy,2,243.5,7.12,0.443,26.1,292.9,panicle_initiation,64,0.745,41.4,58.6,1.78,2.52,250,27.73
Firozpur,wheat,15,265.3,7.55,0.418,44.0,285.2,jointing,59,0.685,51.0,49.0,17.95,17.24,1875,20.95
Moga,wheat,3,243.9,7.69,0.338,14.2,133.7,germination,8,0.152,66.4,33.6,4.67,2.36,375,17.14
Patiala,wheat,15,272.2,7.52,0.373,40.7,295.5,grain_filling,114,0.518,45.7,54.3,16.07,19.12,1875,20.3
Ludhiana,wheat,2,240.1,7.32,0.576,30.1,251.8,heading,85,0.72,36.9,63.1,1.73,2.96,250,20.7
Firozpur,paddy,3,133.5,8.23,0.243,41.9,212.9,seedling,2,0.266,74.8,25.2,4.83,1.62,375,27.56
Jalandhar,paddy,4,249.5,7.91,0.322,18.2,277.4,panicle_initiation,57,0.74,46.1,53.9,3.97,4.63,500,29.16
Moga,wheat,3,279.8,7.2,0.282,31.1,301.5,jointing,78,0.603,57.9,42.1,4.07,2.96,375,18.89
Patiala,wheat,3,236.4,7.51,0.538,39.9,129.9,jointing,70,0.524,51.0,49.0,3.59,3.45,375,20.57
Kapurthala,wheat,7,290.4,7.48,0.317,31.6,142.8,jointing,77,0.612,50.7,49.3,8.33,8.1,875,19.75
Patiala,wheat,5,300.1,7.0,0.486,35.5,296.5,grain_filling,121,0.502,41.2,58.8,4.83,6.9,625,18.22
Kapurthala,paddy,5,280.8,7.0,0.512,39.0,128.1,flowering,83,0.651,35.8,64.2,3.85,6.91,625,30.17
Bathinda,wheat,3,178.7,8.48,0.218,12.8,191.0,tillering,49,0.486,63.7,36.3,4.48,2.55,375,18.52
Amritsar,wheat,15,166.2,7.39,0.302,32.3,268.2,grain_filling,106,0.616,49.7,50.3,17.48,17.71,1875,20.03
Patiala,wheat,5,181.8,7.28,0.669,38.3,163.2,germination,5,0.277,59.5,40.5,6.98,4.75,625,18.9
Moga,wheat,1,275.6,7.85,0.34,23.4,210.0,heading,95,0.752,41.2,58.8,0.97,1.38,125,19.24
Ludhiana,wheat,4,251.6,7.2,0.526,11.6,272.4,heading,99,0.605,37.8,62.2,3.54,5.84,500,21.27
Ludhiana,wheat,3,298.6,7.64,0.595,30.3,231.9,heading,97,0.628,31.0,69.0,2.18,4.86,375,19.82
Jalandhar,wheat,2,189.2,8.21,0.413,23.8,182.6,grain_filling,115,0.548,47.8,52.2,2.24,2.45,250,19.36
Bathinda,wheat,3,182.2,8.79,0.336,13.1,241.4,heading,97,0.677,49.4,50.6,3.48,3.56,375,19.41
Ludhiana,wheat,4,203.6,7.3,0.593,22.5,285.4,grain_filling,119,0.485,35.7,64.3,3.35,6.04,500,20.1
Moga,wheat,5,178.1,7.84,0.58,15.3,283.4,heading,99,0.756,33.9,66.1,3.97,7.76,625,19.17
Firozpur,paddy,4,158.2,7.87,0.231,26.6,228.6,panicle_initiation,47,0.694,54.9,45.1,4.72,3.88,500,28.02
Ludhiana,paddy,3,245.3,7.04,0.639,43.2,222.6,flowering,77,0.751,31.7,68.3,2.05,4.4,375,26.77
Ludhiana,paddy,3,241.8,7.73,0.622,22.7,265.1,grain_filling,104,0.528,41.6,58.4,2.68,3.77,375,29.36
Moga,paddy,1,183.1,7.32,0.535,25.4,289.4,panicle_initiation,51,0.601,51.7,48.3,1.11,1.04,125,29.43
Sangrur,paddy,2,266.2,7.76,0.343,20.5,191.7,tillering,24,0.414,51.4,48.6,2.21,2.09,250,27.69
Moga,wheat,7,202.8,7.9,0.291,10.2,307.4,heading,89,0.753,39.7,60.3,6.52,9.9,875,19.47
Gurdaspur,paddy,1,214.2,7.66,0.328,20.7,229.8,flowering,78,0.79,40.1,59.9,0.86,1.29,125,28.29
Amritsar,wheat,2,220.1,8.15,0.462,11.8,134.6,grain_filling,124,0.509,48.6,51.4,2.28,2.41,250,18.0
Firozpur,wheat,3,256.9,7.79,0.353,17.9,248.1,grain_filling,113,0.571,39.4,60.6,2.78,4.26,375,18.77
Ludhiana,paddy,2,301.4,7.54,0.588,29.4,247.4,tillering,29,0.457,35.7,64.3,1.54,2.76,250,27.69
Jalandhar,wheat,3,268.5,7.43,0.439,19.9,146.8,tillering,31,0.404,54.1,45.9,3.81,3.23,375,19.24
Sangrur,paddy,3,173.8,7.92,0.301,18.6,268.2,grain_filling,118,0.467,50.2,49.8,3.24,3.21,375,26.61
Jalandhar,paddy,3,284.9,7.62,0.571,23.2,312.8,grain_filling,107,0.567,34.7,65.3,2.24,4.21,375,27.39
Firozpur,paddy,12,149.5,7.71,0.465,16.4,175.7,panicle_initiation,62,0.685,53.4,46.6,13.79,12.01,1500,26.41
Patiala,paddy,1,176.7,7.23,0.685,27.5,206.5,tillering,29,0.527,47.1,52.9,1.01,1.14,125,28.26
Bathinda,paddy,4,239.0,7.78,0.364,26.5,296.0,seedling,3,0.238,56.8,43.2,4.88,3.72,500,26.67
